FA001;GerenciaGeneral
FA110;DPCG
FA120;DECP
FA130;Depto.deComunic.
FA140;Consej.Jurídica
FA150;Sup.RiesySaludOc
FA200;Ger.Es.Des.yCon.Ge
FA210;D.Sist.Gest.yExc
FA220;Seg.IndyEmerg.
FA230;U.Contab.Metalurg.
FA300;GDH
FA310;DeptoEstyGestDH
FA311;Corporación de Bienestar MBCD
FA315;D.Des.Org.DesPer
FA320;Un.Des.delasPers.
FA330;DeptoAdm.Operat.
FA335;Serv. de Bienestar
FA340;UnSaludOcupacional
FA350;DeptoGes.Ambiental
FA351;ResiduoIndustrial
FA360;UnidadGestRies.Int
FA370;DeptoRRLLyC.Vida
FA380;DeptoGest.Terc.
FA900;GerenciaSustentab.
FA910;NuevaVentanas
FA920;Dep.Gest.Com.yTe
FC400;Ger.ComercialySer
FC410;Uni.Op.Comerciales
FC415;DeptoGestiónCom.
FC420;PlanificaciónVentas
FC421;Transporte y Embarque de Cobre
FC422;Transporte y Embarque de Acido Sulfúrico
FC423;Transporte y Embarque de Otros Subproduc
FC425;Abast.Minero
FC430;DeptoCtrldeCalid.
FC435;ControlFísico
FC440;Lab.Analítico
FC445;Muest.yPrep.Muest
FC450;Direc.deProyectos
FC455;U.Ing.dePlanta
FC465;Unidad de Proyectos
FC470;Super.Sum.yServ.
FC475;Depto.Serv.Personas
FF600;Sup.Fundición
FF610;Ing.ProcesosFundic
FF620;ManyPrepac.Mat
FF621;CanchadeConjuntos
FF622;ProdResyEscorial
FF623;Chancado
FF630;DeptoFundición
FF631;Secadordeconcent.
FF632;ConvertidorTeniente
FF633;HornoEléctrico
FF634;Conversión
FF635;PatioFundición
FF640;DeptoRefinoaFuego
FF641;HornoBasculante
FF642;Moldeo
FF643;CalderasNaveHornos
FF644;PatioRefinación
FF645;FundicióndeCobre
FF650;Adm.PlantadeAcido
FF651;PlantadeAcido
FO500;Sup.Gr.Operaciones
FO510;DeptoGestiónOp.
FO520;DeptoIngProcesos
FR700;Sup.Refinería
FR710;Ing.ProcesosRefine
FR720;Adm.Ref.Elec.
FR721;PtaTratElectrolito
FR722;PrepHMyCátInicia
FR723;Renovación
FR724;Circulación
FR725;Cortocircuito
FR730;Adm.ProdMetalúrgic
FR731;ProductosIntermedio
FR735;ProductosFinales
FR740;PLAMEN
FR741;LixiviaciónPLAMEN
FR742;PlantaSelenio
FR743;HornoDoré
FR744;RefinaciónPlata
FR745;RefinaciónOro
FR746;FundiciónPLAMEN
FS800;Super.Mantención
FS810;DeptoPlanifyCtrl
FS820;DeptoMantMecGral
FS821;Lubricación
FS822;MMecCentTeryPOx
FS823;MantMecSecadoyHE
FS824;MantMecánicaConv
FS825;MantMecánicaPtaÁc
FS826;MantMecánicaRAF
FS827;MantMecRefinería
FS828;MantMecPMN
FS829;Mant.TurnoMMG
FS830;MantGralEleeInst
FS831;MantenimEléctrico
FS835;MantenInstrumentos
FS840;Depto.Serv.Producc.
FS841;TallerMecánico
FS842;MantenimientoGral
FS843;Plásticosyantiácid
FS844;MantEquiposServic
FS845;EquipoServicio
FS850;Refractarios
FS860;TurnoCentTermyPO
FS861;Turbosoplador
FS862;PlantaOxígeno
FS863;EnergíaEléctrica
FS864;AireComprimido
FS865;CalderasCentTérmic
FS866;AguaPotable
FS867;AguaTratada
FS868;Agua Industrial
FS869;Depto.dePlantas
